district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ,city
Ümraniye,1331,491261,437567,430737,203812,37413,631,731,42091,97298,7539,36128,3794,1113,187,İstanbul
Maltepe,1003,367516,326983,322367,108787,21904,364,825,33077,120378,3917,29569,2200,1149,197,İstanbul
Sultanbeyli,575,213941,190673,186581,104983,20510,458,208,33995,14161,3350,6607,2082,191,36,İstanbul
Tuzla,477,174845,155929,153534,64135,15462,217,269,16743,38716,2424,13714,1377,405,72,İstanbul
Ataşehir,825,306446,273429,269381,99335,19259,274,626,30962,90410,3810,21687,1960,890,168,İstanbul
Çekmeköy,466,170067,152813,150288,66222,14503,189,215,15648,37788,2329,11738,1193,393,70,İstanbul
Sancaktepe,733,272270,243872,239214,101623,20191,549,263,45033,55072,2855,11271,1811,419,127,İstanbul
Kilis Merkez,255,70145,61513,60099,29094,12348,137,92,1235,9072,819,6485,699,118,0,Kilis
Elbeyli,29,4062,3532,3491,1649,767,18,7,34,603,28,344,37,4,0,Kilis
Musabeyli,54,8114,7178,6993,4265,1361,17,17,59,647,115,427,82,3,0,Kilis
Polateli,23,3295,2906,2841,1698,501,5,9,19,253,34,290,27,5,0,Kilis
Akyazı,202,63513,58659,57648,39325,7642,78,94,295,4945,1223,3190,794,62,0,Sakarya
Geyve,145,35671,32407,31628,18680,3688,89,107,438,3393,644,4155,378,56,0,Sakarya
Hendek,204,58085,52573,51574,29932,8510,76,94,770,5410,580,5296,797,109,0,Sakarya
Karasu,145,46447,40614,39886,22610,5602,60,109,853,5928,708,3379,561,76,0,Sakarya
Kaynarca,73,17656,16343,15962,10702,2272,22,24,73,1372,263,990,229,15,0,Sakarya
Sapanca,97,29607,27219,26751,14063,3409,20,42,897,4911,745,2264,324,76,0,Sakarya
Kocaali,63,16665,15005,14630,8638,2004,32,44,150,1689,490,1385,175,23,0,Sakarya
Pamukova,78,21363,19316,18881,11252,2303,32,41,158,2427,378,2006,252,32,0,Sakarya
Taraklı,28,5195,4828,4676,3008,647,12,17,13,391,119,417,48,4,0,Sakarya
Ferizli,65,18451,17041,16681,9803,2590,30,35,150,1982,257,1555,241,38,0,Sakarya
Karapürçek,29,8988,8251,8050,5277,1106,15,14,99,775,287,350,107,20,0,Sakarya
Söğütlü,40,10882,9928,9713,5678,989,19,21,57,1702,120,1019,92,16,0,Sakarya
Adapazarı,551,192628,172813,169975,90377,22897,209,297,4904,27627,3644,17536,2046,438,0,Sakarya
Arifiye,91,29476,27020,26565,15906,3681,29,42,1354,2660,531,1956,358,48,0,Sakarya
Erenler,178,60970,55021,54140,33981,7190,60,79,1310,5538,1071,4164,653,94,0,Sakarya
Serdivan,250,89673,80312,79106,39760,10422,73,120,2527,13566,1922,9628,843,245,0,Sakarya
Afşin,186,54233,46484,45498,21671,11474,109,101,1313,4514,511,5053,706,46,0,Kahramanmaraş
Andırın,97,25097,22315,21665,10897,3383,92,120,134,3758,328,2711,212,30,0,Kahramanmaraş
Elbistan,320,95724,82618,81005,36887,14943,132,137,5016,11198,1324,10248,1008,112,0,Kahramanmaraş
Göksun,144,36557,31935,31108,16384,6590,93,110,522,3078,581,3250,460,40,0,Kahramanmaraş
Pazarcık,172,45609,39585,38467,15230,4494,95,81,6468,9604,180,1897,362,56,0,Kahramanmaraş
Türkoğlu,150,45008,40720,39873,25342,5643,104,88,771,3018,1080,3286,513,28,0,Kahramanmaraş
Çağlayancerit,52,15915,13713,13333,6844,1368,145,66,819,1830,118,2044,82,17,0,Kahramanmaraş
Ekinözü,32,8304,7517,7303,3885,1029,26,20,615,819,62,776,63,8,0,Kahramanmaraş
Nurhak,34,9068,7526,7290,1884,795,12,31,732,3215,118,445,42,16,0,Kahramanmaraş
Dulkadiroğlu,429,140478,128120,125883,85364,18166,231,214,3254,7596,1565,8018,1354,121,0,Kahramanmaraş
Onikişubat,774,262684,240607,237365,150620,38032,492,355,2608,12803,3981,25555,2586,333,0,Kahramanmaraş
Adilcevaz,72,17673,14827,14434,4733,1596,82,25,6824,501,115,445,108,5,0,Bitlis
Ahlat,85,23160,20045,19588,6824,1575,51,22,9589,513,131,740,134,9,0,Bitlis
Bitlis Merkez,167,40561,34093,32765,16355,991,729,68,11342,1063,429,1599,156,33,0,Bitlis
Hizan,95,19355,14952,14237,7291,253,40,79,5944,246,144,179,52,9,0,Bitlis
Mutki,88,17700,14602,14145,10458,304,103,40,2038,209,106,822,50,15,0,Bitlis
Tatvan,178,54180,45391,43490,16938,1057,703,242,22047,789,502,982,200,30,0,Bitlis
Güroymak,95,25881,21658,20859,7889,466,101,50,11326,262,340,375,41,9,0,Bitlis
Amasya Merkez,345,101641,93175,91414,40714,11982,114,159,1544,21331,997,13421,933,219,0,Amasya
Göynücek,50,8202,7466,7235,3827,902,24,28,161,1483,52,668,78,12,0,Amasya
Gümüşhacıköy,84,18699,17508,17146,6105,1147,32,22,613,7758,211,1088,129,41,0,Amasya
Merzifon,204,54817,49846,49067,19253,5859,60,77,1097,15710,606,5854,453,98,0,Amasya
Suluova,129,35156,32277,31435,18476,4519,47,66,352,3701,398,3407,420,49,0,Amasya
Taşova,107,24894,22401,21642,11778,2344,74,82,187,4187,182,2471,294,43,0,Amasya
Hamamözü,22,3077,2893,2804,1393,445,8,13,28,633,23,213,43,5,0,Amasya
Ardahan Merkez,110,27384,23275,22387,6728,1634,80,84,6916,4811,161,1755,161,57,0,Ardahan
Çıldır,43,6985,5815,5609,2300,671,31,35,203,1874,45,367,64,19,0,Ardahan
Göle,74,17953,14665,14144,6731,531,51,36,4345,1821,263,252,99,15,0,Ardahan
Hanak,37,6981,6113,5854,1656,389,20,20,698,2763,42,209,31,26,0,Ardahan
Posof,53,5384,4713,4550,2701,415,10,17,176,904,41,210,73,3,0,Ardahan
Damal,19,4718,4282,4130,315,106,11,10,1020,2515,17,107,7,22,0,Ardahan
Seçim çevresi toplamı (1 nolu),4469,1577841,1397565,1373392,377584,78038,2276,4223,169996,569968,10758,145611,9097,4882,959,İzmir
