age,male,female,all,city,district
55-59,216,195,411,Artvin,Murgul
60-64,179,175,354,Artvin,Murgul
65-69,157,154,311,Artvin,Murgul
70-74,67,112,179,Artvin,Murgul
75+,110,174,284,Artvin,Murgul
18-24,2203,2107,4310,Afyonkarahisar,Sinanpaşa
25-29,1234,1193,2427,Afyonkarahisar,Sinanpaşa
30-34,1290,1152,2442,Afyonkarahisar,Sinanpaşa
35-39,1323,1219,2542,Afyonkarahisar,Sinanpaşa
40-44,1188,1249,2437,Afyonkarahisar,Sinanpaşa
45-49,1290,1292,2582,Afyonkarahisar,Sinanpaşa
50-54,1212,1258,2470,Afyonkarahisar,Sinanpaşa
55-59,1347,1309,2656,Afyonkarahisar,Sinanpaşa
60-64,1071,1204,2275,Afyonkarahisar,Sinanpaşa
65-69,929,965,1894,Afyonkarahisar,Sinanpaşa
70-74,652,831,1483,Afyonkarahisar,Sinanpaşa
75+,1054,1467,2521,Afyonkarahisar,Sinanpaşa
18-24,748,828,1576,Bursa,Orhaneli
25-29,522,516,1038,Bursa,Orhaneli
30-34,589,517,1106,Bursa,Orhaneli
35-39,548,574,1122,Bursa,Orhaneli
40-44,583,566,1149,Bursa,Orhaneli
45-49,604,631,1235,Bursa,Orhaneli
50-54,668,706,1374,Bursa,Orhaneli
55-59,729,807,1536,Bursa,Orhaneli
60-64,645,713,1358,Bursa,Orhaneli
65-69,604,744,1348,Bursa,Orhaneli
70-74,397,537,934,Bursa,Orhaneli
75+,745,950,1695,Bursa,Orhaneli
18-24,10699,11137,21836,Kırıkkale,Kırıkkale Merkez
25-29,6486,6808,13294,Kırıkkale,Kırıkkale Merkez
30-34,7005,6915,13920,Kırıkkale,Kırıkkale Merkez
35-39,6969,7252,14221,Kırıkkale,Kırıkkale Merkez
40-44,6465,6901,13366,Kırıkkale,Kırıkkale Merkez
45-49,6813,7030,13843,Kırıkkale,Kırıkkale Merkez
50-54,7097,6923,14020,Kırıkkale,Kırıkkale Merkez
55-59,6035,6009,12044,Kırıkkale,Kırıkkale Merkez
60-64,4932,5077,10009,Kırıkkale,Kırıkkale Merkez
65-69,3630,4123,7753,Kırıkkale,Kırıkkale Merkez
70-74,2352,2907,5259,Kırıkkale,Kırıkkale Merkez
75+,2807,4107,6914,Kırıkkale,Kırıkkale Merkez
18-24,214,250,464,Kütahya,Pazarlar
25-29,111,115,226,Kütahya,Pazarlar
30-34,132,95,227,Kütahya,Pazarlar
35-39,130,135,265,Kütahya,Pazarlar
40-44,168,152,320,Kütahya,Pazarlar
45-49,151,173,324,Kütahya,Pazarlar
50-54,201,197,398,Kütahya,Pazarlar
55-59,180,259,439,Kütahya,Pazarlar
60-64,229,210,439,Kütahya,Pazarlar
