age,male,female,all,city,district,Sandık sayısı,Kayıtlı seçmen sayısı,Oy kullanan seçmen sayısı,Geçerli oy sayısı,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET PARTİSİ,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BĞMZ
18-24,218,230,448,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
25-29,112,104,216,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
30-34,114,93,207,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
35-39,107,106,213,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
40-44,108,101,209,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
45-49,134,139,273,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
50-54,102,88,190,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
55-59,105,96,201,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
60-64,90,99,189,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
65-69,69,95,164,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
70-74,69,68,137,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
75+,128,181,309,Karaman,Başyayla,13.0,2756.0,2384.0,2288.0,1221.0,630.0,8.0,17.0,5.0,126.0,28.0,219.0,32.0,2.0,0.0
18-24,10310,10422,20732,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
25-29,6483,6941,13424,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
30-34,6593,7027,13620,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
35-39,6693,6894,13587,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
40-44,5593,5657,11250,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
45-49,4752,4788,9540,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
50-54,4072,3901,7973,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
55-59,3234,3427,6661,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
60-64,2704,2950,5654,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
65-69,2036,2133,4169,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
70-74,1391,1613,3004,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
75+,1351,2205,3556,Erzurum,Palandöken,323.0,113170.0,98717.0,97146.0,50206.0,20957.0,203.0,91.0,6974.0,3774.0,2132.0,11185.0,1454.0,170.0,0.0
18-24,123,115,238,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
25-29,88,80,168,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
30-34,86,62,148,Kastamonu,Ağlı,25.0,2395.0,2067.0,1987.0,1092.0,452.0,8.0,7.0,8.0,177.0,18.0,192.0,29.0,4.0,0.0
